state,abbreviation,population,,
Alabama,AL,"4,730,907",,
Alaska,AK,"708,421",,
Arizona,AZ,"6,580,081",,
Arkansas,AR,"2,884,185",,
California,CA,"37,985,370",,
Colorado,CO,"5,238,386",,
Connecticut,CT,"3,478,451",,
Delaware,DE,"910,104",,
Florida,FL,"19,461,834",,
Georgia,GA,"9,835,687",,
Hawaii,HI,"1,375,345",,
Idaho,ID,"1,604,863",,
Illinois,IL,"12,580,170",,
Indiana,IN,"6,407,773",,
Iowa,IA,"3,007,199",,
Kansas,KS,"2,824,897",,
Kentucky,KY,"4,283,110",,
Louisiana,LA,"4,521,116",,
Maine,ME,"1,294,459",,
Maryland,MD,"5,836,593",,
Massachusetts,MA,"6,497,607",,
Michigan,MI,"9,683,157",,
Minnesota,MN,"5,322,298",,
Mississippi,MS,"2,897,745",,
Missouri,MO,"5,888,717",,
Montana,MT,"994,692",,
Nebraska,NE,"1,829,402",,
Nevada,NV,"2,802,541",,
New Hampshire,NH,"1,286,290",,
New Jersey,NJ,"8,752,648",,
New Mexico,NM,"2,042,422",,
New York,NY,"19,165,049",,
North Carolina,NC,"9,689,977",,
North Dakota,ND,"712,845",,
Ohio,OH,"11,283,133",,
Oklahoma,OK,"3,767,999",,
Oregon,OR,"3,883,322",,
Pennsylvania,PA,"12,356,373",,
Rhode Island,RI,"1,013,639",,
South Carolina,SC,"4,695,737",,
South Dakota,SD,"819,194",,
Tennessee,TN,"6,394,755",,
Texas,TX,"26,361,103",,
Utah,UT,"2,898,247",,
Vermont,VT,"601,206",,
Virginia,VA,"8,085,372",,
Washington,WA,"6,920,563",,
West Virginia,WV,"1,800,836",,
Wisconsin,WI,"5,608,579",,
Wyoming,WY,"569,896",,
